,Year,Movie_name,Role,Actor,Action,Adventure,Comedy,Drama,Thriller,Crime,History,Mystery,Fantasy,Family,Romance,War,Biography,Director,Rating
339,1985,Aa Neram Alpam Dooram ,Alex,Siddique,1,,,,1,,,,,,,,,Thambi Kannanthanam,5.9
261,1986,Padayani,Young Ramesh,Indrajith Sukumaran,,,,1,,,,,,,,,,T.S.Mohan,7.9
340,1987,New Delhi,Siddique,Siddique,,,,,1,1,,,,,,,,Joshiy,7.9
342,1988,Janmandram,Abdu,Siddique,1,,,1,1,,,,,,,,,Thambi Kannanthanam,5.8
341,1988,Witness,Alexander,Siddique,1,,,,1,,,,,,,,,Viji Thampi,5.8
343,1989,Peruvannapurathe Visheshangal,Antappan,Siddique,,,,1,,,,,,,,,,Kamal,7.2
345,1989,Carnivel,Sainu,Siddique,,,,,,1,,,,,1,,,P.G.Vishwambaran,5.9
344,1989,Kaalal Pada,Vichu,Siddique,,,,1,,,,,,,,,,Viji Thampi,6.3
150,1990,Thazhvaram,Balan,Mohanlal,,,,1,,1,,,,,,,,Bharathan,8.1
153,1990,Appu,Appu,Mohanlal,,,1,1,1,,,,,,,,,Dennis Joseph,5.8
151,1990,Arhatha,Devaraaj,Mohanlal,1,,,1,1,,,,,,,,,I.V.Sasi,5.8
146,1990,No.20 Madras Mail,Tony Kurishingal,Mohanlal,,,1,1,1,1,,1,,,,,,Joshiy,7.7
347,1990,Pavam Pavam Rajakumaran,Aravindhan Mash,Siddique,,,,1,,,,,,,,,,Kamal,7.1
148,1990,Mukham,Hariprasad,Mohanlal,,,,,1,1,,1,,,,,,Mohan,7
348,1990,Gajakesariyogam,Ram Mohan IAS,Siddique,,,1,,,,,,,,,,,P.G.Vishwambaran,6.8
145,1990,Akkare Akkare Akkare,C. I. D Ramdas,Mohanlal,,,1,,,,,,,,,,,Priyadarshan,7.6
149,1990,Kadathanadan Ambadi,Kadathanadan Ambadi,Mohanlal,1,1,,1,,,,,,,,,,Priyadarshan,6
350,1990,No.20 Madras Mail,Tony's Friend,Siddique,,,,1,1,,,,,,,,,Priyadarshan,7.7
147,1990,His Highness Abdullah,Abdullah / Anandhan Nampoothiri,Mohanlal,,,,1,1,,,,,,,,,Sibi Malayil,7.9
346,1990,In Harihar Nagar,Govindan Kutty,Siddique,1,,,1,,,,,,,,,,Siddique-Lal,8.6
346,1990,In Harihar Nagar,Govindan Kutty,Siddique,1,,,1,,,,,,,,,,Lal,8.6
152,1990,Indrajaalam,Kannan Nair,Mohanlal,1,,,,1,1,,,,,,,,Thampi Kannanthanam,6.3
349,1990,Kouthuka Varthakal,Pavithran,Siddique,,,1,1,,,,,,,,,,Thulasidas ,5.8
144,1990,Aye Auto,Sudhi,Mohanlal,,,1,,,,,,,,1,,,Venu Nagavalli,7.1
154,1990,Lal Salam,Nettoor Stephan,Mohanlal,,,,1,,,,,,,,,,Venu Nagavalli,7.2
360,1991,Ganamela,Tony Fernadez,Siddique,,,,1,,,,,,,1,,,Ambili,4.2
139,1991,Uncle Bun,Charlie Chacko,Mohanlal,,,1,1,,,,,,,1,,,Bhadran,5.8
137,1991,Vasthuhara,Venugopal,Mohanlal,,,,1,,,,,,,1,,,Govindan Aravindan,6.8
355,1991,Ezhunallathu,Subramaniyam Iyyer,Siddique,,,,1,,,,,,,,,,Harikumar,5.1
359,1991,Georgootty c/o Georgootty,SI Firoz,Siddique,,,,1,,,,,,,,,,K.K.Haridas,6.6
138,1991,Vishnulokam,Shanku,Mohanlal,,,,,,,,,,,,,,Kamal,6.5
141,1991,Ulladakkam,Dr. Sunny,Mohanlal,,,,1,,,,,,,,,,Kamal,7.2
361,1991,Irikku M.D.Akathundu,Sunny,Siddique,,,,1,,,,,,,,,,P.G.Vishwambaran,5.2
362,1991,Innathe Program,Rajendran,Siddique,,,1,,,,,,,,1,,,P.G.Vishwambaran,5.7
354,1991,Nattuvishesham,Aniyankunju,Siddique,,,,1,,,,,,,,,,Paul Njarackel,6.2
140,1991,Kilukkam,Joji,Mohanlal,,,1,,,,,,,1,,,,Priyadarshan,8.6
143,1991,Abhimanyu,Hari Krishnan,Mohanlal,,,,1,,1,,,,,,,,Priyadarshan,7.1
363,1991,Onnam Muhurtham,Kumaran,Siddique,1,,,1,,,,,,,,,,Rahim Chelavoor,4
352,1991,Sandesham,Udayabanu,Siddique,,,,1,,,,,,,,,,Sathyan Anthikkad,9
135,1991,Dhanam,Sivashankaran,Mohanlal,,,,1,,,,,,,,,,Sibi Malayil,6.8
136,1991,Bharatham,Kalloor Gopinathan,Mohanlal,,,,1,,,,,,,,,,Sibi Malayil,8.4
357,1991,Godfather,Veerabadran,Siddique,,,1,1,,,,,,,,,,Siddique-Lal,8.6
357,1991,Godfather,Veerabadran,Siddique,,,1,1,,,,,,,,,,Lal,8.6
358,1991,Mukha Chithram,Kanan,Siddique,,,1,,1,,,,,,,,,Suresh Unnithan,6.2
351,1991,Mookilla Rajyathu,Venu,Siddique,,,1,,,,,,,,,,,Thaaha,7.5
353,1991,Chanchattam,V K Madhusoodanan Nair,Siddique,,,,1,,,,,,,,,,Thulasidas ,4.6
356,1991,Mimics Parade,Sabu,Siddique,,,1,,,,,,,,,,,Thulasidas ,6.4
142,1991,Kizhakkunarum Pakshi,Ananth Moorthy,Mohanlal,,,,1,,,,,,,,,,Venu Nagavalli,6.3
367,1992,Manthrikacheppu,Williams,Siddique,,,1,,,,,,,,,,,Anil,5.9
365,1992,Cheppadividya,SI,Siddique,,,,,,,,,,1,,,,G.S.Vijayan,5.7
366,1992,Apaaratha,Suresh,Siddique,,,,,,,,,,1,,,,I.V.Sasi,6.2
132,1992,Soorya Gayathri,Dr. Balasubramaniam,Mohanlal,,,,1,,,,,,,,,,P.Anil,6.7
131,1992,Adhwaytham,Sivaprasad,Mohanlal,1,,,1,,1,,,,,,,,Priyadarshan,7.1
129,1992,Rajashilpi,Shambhu,Mohanlal,,,,1,,,,,,,1,,,R.Sukumaran,6.4
364,1992,Ayalathe Adheham,Rajeevan,Siddique,,,,1,,,,,,,,,,Rajasenan,6.8
130,1992,Yoddha,Thaiparambil Ashokan,Mohanlal,1,,1,,,,,,,,,,,Sangeeth Sivan,8.4
126,1992,Sadayam,Sathyanadhan,Mohanlal,,,,1,1,,,,,,,,,Sibi Malayil,8.3
127,1992,Kamaladalam,Nandagopan,Mohanlal,,,,1,,,,,,,,,,Sibi Malayil,7.9
134,1992,Vietnam Colony,G. Krishnamurthy,Mohanlal,1,,1,1,,,,,,,,,,Siddique,7.8
128,1992,Aham,Sidharthan,Mohanlal,,,,1,,,,,,,,,,T.Rajeevnath,6.9
133,1992,Naadody,"Sachidanandan, Balakrishnan Bhagavathar",Mohanlal,1,,,1,1,,,,,,,,,Thampi Kannanthanam,5.4
125,1993,Manichithrathazhu,Dr. Sunny Joseph,Mohanlal,,,1,,1,,,1,1,,,,,Fazil,8.7
119,1993,Devaasuram,Mangalassery Neelakandan,Mohanlal,,,1,1,1,,,,,,,,,I.V.Sasi,8.7
118,1993,Mithunam,Sedhumadhavan,Mohanlal,,,1,1,,,,,,,,,,Priyadarshan,7.9
